Height,Minutes,Points,2P-Field-Goals-Perc,3P-Field-Goals-Perc,Free-Throws,Rebounds,Assists,Blocks,Turnovers,Global-Assessment,Position
1.9,23.17,7.4,50.4,29.6,70.8,4.3,0.8,0.3,0.9,7.6,Center
1.78,29.3,10.9,50.5,32.6,81.1,3.9,3.8,0.0,1.5,11.8,Shooting-Guard
1.9,18.4,7.9,52.8,100.0,60.0,5.3,0.5,0.5,0.7,9.8,Center
1.83,27.41,9.2,54.4,32.4,74.3,2.9,2.7,0.2,0.8,8.4,Small-Forward
1.66,25.47,6.5,38.4,30.2,82.1,2.5,3.3,0.0,1.2,8.2,Point-Guard
1.67,26.16,8.2,47.7,32.3,78.9,2.8,3.2,0.0,1.1,7.7,Point-Guard
1.83,24.58,7.0,41.6,31.0,71.8,2.9,1.3,0.1,1.3,7.4,Shooting-Guard
1.7,28.2,7.4,36.3,34.9,81.8,4.0,1.6,0.1,1.1,6.6,Shooting-Guard
1.84,21.2,6.6,41.8,29.0,80.4,2.8,1.0,0.1,0.8,5.6,Small-Forward
1.85,17.37,5.2,40.5,16.5,47.9,3.3,0.7,0.5,0.9,4.0,Small-Forward
1.93,21.2,7.2,41.3,29.9,64.7,3.8,0.8,0.3,0.6,6.5,Power-Forward
1.83,32.33,12.6,42.8,32.4,70.8,8.5,1.7,0.3,1.7,15.8,Power-Forward
1.86,26.37,12.5,53.2,35.1,80.2,5.3,1.5,0.5,1.5,14.3,Power-Forward
1.88,25.49,9.0,48.4,40.0,62.4,5.9,1.3,1.0,1.7,12.7,Power-Forward
1.85,32.2,15.1,45.0,39.6,70.8,8.5,1.3,0.2,1.0,15.7,Power-Forward
1.88,25.45,11.3,57.5,34.1,70.6,6.9,1.8,0.8,1.3,14.9,Power-Forward
1.83,30.18,13.1,50.5,26.9,67.6,6.3,1.9,0.4,1.6,15.4,Power-Forward
1.91,24.32,7.2,41.8,23.2,67.0,5.5,1.2,0.4,1.5,8.7,Center
1.93,22.44,8.8,48.6,16.7,64.9,6.8,0.5,0.8,0.9,10.9,Center
1.94,19.15,9.5,54.4,13.6,63.6,4.3,0.5,0.6,0.6,9.1,Center
1.93,24.51,12.7,58.5,0.0,51.4,7.4,0.6,0.7,0.7,14.3,Center
1.91,22.32,8.5,58.8,0.0,66.2,8.4,0.8,0.5,0.7,13.5,Center
1.88,26.19,12.5,51.7,18.3,72.5,4.9,1.6,0.6,0.8,11.8,Center
1.9,19.04,9.1,53.0,33.3,73.6,4.6,0.5,0.3,0.4,10.2,Center
1.89,25.26,14.3,54.1,20.0,58.3,6.8,1.0,0.5,0.8,16.4,Center
1.83,33.5,19.3,48.6,33.9,73.4,4.3,1.8,0.1,1.7,16.9,Power-Forward
1.77,25.16,7.0,45.2,24.2,62.4,5.4,1.3,0.1,1.7,9.4,Small-Forward
1.8,27.53,11.4,45.2,37.8,67.0,7.8,1.7,0.4,1.6,14.8,Power-Forward
1.85,20.12,9.1,52.0,14.3,67.4,5.1,0.4,0.1,1.0,9.7,Power-Forward
1.87,27.17,9.5,39.6,24.0,51.9,6.4,1.7,0.6,1.2,10.0,Small-Forward
1.83,18.26,7.0,60.0,40.2,90.3,1.3,0.7,0.0,1.3,5.9,Small-Forward
1.86,21.46,7.0,41.8,32.0,74.1,3.3,0.8,0.3,0.7,5.1,Small-Forward
1.83,28.19,13.1,55.7,31.7,75.4,5.2,2.2,0.1,1.5,15.1,Small-Forward
1.78,22.23,13.5,55.0,42.2,77.8,3.5,1.2,0.0,1.8,13.8,Small-Forward
1.88,25.1,8.7,44.9,28.1,68.1,4.2,1.3,0.3,1.2,8.9,Small-Forward
1.75,18.37,4.7,43.2,34.7,59.3,2.7,1.3,0.0,0.5,3.9,Shooting-Guard
1.85,23.14,7.6,41.9,28.7,73.5,3.4,1.7,0.2,1.2,7.1,Shooting-Guard
1.8,20.16,6.9,39.0,32.1,62.3,2.5,1.5,0.0,1.0,4.5,Shooting-Guard
1.78,25.41,10.0,44.3,36.9,78.4,3.8,1.7,0.3,1.7,9.9,Shooting-Guard
1.76,27.01,8.5,41.0,33.4,67.3,2.6,2.5,0.1,1.2,7.3,Shooting-Guard
1.78,23.22,13.4,52.1,44.0,87.3,3.1,1.4,0.1,1.4,13.3,Shooting-Guard
1.77,26.15,9.8,44.6,28.4,51.3,3.5,1.9,0.2,2.0,9.7,Shooting-Guard
1.81,25.49,8.3,40.4,34.6,79.7,2.2,2.0,0.2,0.8,6.0,Point-Guard
1.74,25.49,8.3,41.9,33.7,70.6,2.8,2.8,0.1,2.0,9.2,Point-Guard
1.78,23.45,6.9,45.7,30.2,56.6,1.8,1.7,0.1,1.0,4.8,Point-Guard
1.82,25.22,7.5,48.2,34.2,68.1,3.3,3.1,0.3,1.7,9.6,Point-Guard
1.78,25.57,6.9,41.1,31.8,72.3,3.7,2.8,0.1,1.1,8.9,Point-Guard
1.71,19.27,4.9,38.5,25.5,67.4,2.2,1.8,0.0,0.9,4.0,Point-Guard
1.67,25.26,7.1,45.8,32.9,75.7,2.6,3.6,0.0,1.3,9.1,Point-Guard
1.67,24.59,7.0,48.6,32.0,74.5,2.3,2.4,0.0,1.6,7.9,Point-Guard
1.81,22.36,9.9,46.6,34.7,82.3,2.3,4.4,0.1,1.4,12.5,Point-Guard
1.89,21.0,9.2,52.3,39.0,81.5,1.9,4.3,0.0,0.9,9.8,Point-Guard
1.9,22.57,10.9,52.1,36.7,79.3,1.8,3.3,0.1,0.8,11.7,Point-Guard
1.85,21.19,9.2,43.1,40.0,81.9,1.9,3.8,0.0,0.7,8.8,Point-Guard
1.86,26.04,6.5,44.8,32.2,77.4,1.8,5.4,0.0,1.4,8.9,Point-Guard
1.96,19.02,7.6,49.1,35.0,87.1,1.9,1.5,0.1,0.6,7.4,Shooting-Guard
1.99,23.3,9.3,54.3,36.5,77.2,3.2,1.8,0.0,0.7,10.7,Small-Forward
1.93,22.54,11.0,53.3,40.3,88.5,2.4,0.9,0.2,0.8,9.2,Shooting-Guard
1.89,16.02,5.3,53.1,31.0,74.9,1.6,2.1,0.1,0.7,5.6,Shooting-Guard
1.98,19.45,5.4,48.5,35.0,73.8,4.6,0.5,0.1,0.8,6.2,Small-Forward
2.07,21.35,6.7,52.7,34.8,69.4,3.7,1.2,0.4,0.9,7.7,Power-Forward
2.08,19.53,9.2,54.7,25.4,63.5,4.6,0.7,0.6,0.6,8.7,Power-Forward
2.17,20.59,10.2,59.8,0.0,63.6,6.0,1.6,0.5,0.7,14.3,Center
2.17,21.54,13.0,63.8,0.0,82.3,5.9,0.8,0.6,0.7,17.1,Center
2.09,8.41,2.8,67.7,0.0,43.9,2.2,0.2,0.5,0.2,4.0,Center
2.1,18.38,8.3,53.8,34.2,83.3,5.0,1.3,0.4,0.6,10.9,Center
2.13,17.36,9.1,59.0,30.8,65.1,5.6,0.5,0.6,0.3,10.4,Center
2.05,21.15,11.8,54.0,38.6,80.1,5.4,1.1,0.3,0.7,13.4,Center
2.1,12.22,4.1,53.9,28.6,76.8,2.9,0.4,0.6,0.3,4.8,Center
2.17,13.4,6.3,65.1,22.7,57.5,3.7,0.3,1.1,0.5,7.4,Center
2.2,20.14,6.9,65.6,0.0,64.9,6.8,0.4,1.7,0.5,12.4,Center
2.07,20.55,9.0,64.6,0.0,62.8,6.0,1.8,0.8,1.1,13.9,Center
2.01,23.11,8.6,51.0,33.7,73.4,4.7,1.4,0.3,0.9,10.5,Power-Forward
2.06,14.0,4.6,50.0,22.4,78.2,2.9,0.4,0.6,0.6,5.3,Power-Forward
2.06,22.54,12.2,58.0,34.6,71.0,4.8,1.6,0.4,1.0,14.4,Power-Forward
2.08,20.52,11.0,57.0,37.4,81.2,4.6,0.9,0.5,0.8,13.6,Power-Forward
2.06,15.39,6.4,59.6,32.6,67.9,3.2,0.6,0.3,0.3,6.7,Power-Forward
2.11,19.18,8.6,51.5,36.6,71.9,4.0,0.7,0.6,0.6,9.3,Power-Forward
2.08,19.4,9.7,59.7,44.1,85.1,3.4,0.9,0.3,0.5,9.3,Power-Forward
2.04,20.17,10.3,53.1,23.1,68.3,5.8,0.9,0.3,0.9,13.1,Power-Forward
1.98,21.48,9.1,49.1,33.2,64.2,3.3,1.2,0.8,0.8,8.6,Small-Forward
2.01,17.55,5.8,50.9,38.6,77.2,2.0,1.2,0.2,0.7,5.9,Shooting-Guard
2.0,20.49,6.4,58.7,33.5,70.5,4.3,1.6,0.1,0.6,9.1,Small-Forward
1.94,19.06,7.3,53.0,42.3,85.6,1.9,2.4,0.0,0.8,8.2,Shooting-Guard
1.86,17.06,5.2,48.3,30.9,78.6,1.9,2.0,0.0,0.6,6.2,Shooting-Guard
1.88,20.38,12.4,54.6,43.4,87.1,2.1,0.8,0.1,0.6,10.0,Shooting-Guard
1.95,20.46,8.3,58.6,36.9,75.3,2.2,1.7,0.1,0.9,8.8,Shooting-Guard
1.96,17.5,5.3,53.9,32.5,76.7,2.3,0.8,0.3,1.0,5.3,Small-Forward
2.0,20.32,10.5,51.3,34.7,90.1,2.4,1.3,0.1,0.7,9.4,Small-Forward
1.99,23.2,9.1,56.2,31.9,70.0,3.7,1.9,0.6,1.3,10.8,Small-Forward
2.01,16.16,6.0,59.6,45.5,63.1,1.6,0.9,0.1,0.5,4.6,Small-Forward
1.96,23.55,11.8,54.4,36.6,84.0,3.1,2.5,0.2,1.5,13.8,Small-Forward
1.88,19.45,7.0,43.4,29.8,76.1,2.1,3.4,0.0,0.8,8.1,Point-Guard
1.98,16.48,6.6,53.0,38.7,82.4,1.7,0.8,0.2,0.6,5.7,Small-Forward
1.83,21.53,9.6,48.8,33.0,80.3,1.9,2.3,0.1,0.9,8.4,Shooting-Guard
1.9,22.02,9.0,50.2,42.5,84.9,1.8,1.7,0.1,0.7,8.9,Shooting-Guard
1.82,16.23,3.7,34.4,29.2,73.3,1.6,3.3,0.1,0.8,5.2,Point-Guard
1.88,22.47,7.9,53.8,39.5,82.1,2.5,3.3,0.1,0.7,9.1,Point-Guard
1.88,18.45,4.6,40.6,34.9,73.3,2.1,2.3,0.0,1.0,5.9,Point-Guard
1.9,24.38,12.3,48.8,38.3,78.9,2.3,4.9,0.0,1.0,12.7,Point-Guard
